"scenario_id","generator","mc","n","tau","p","signal","null","c","num_permut","alpha","min_size","methods","variants","ndsup","base_seed","covariance"
"ntc_tau0.5_l0","gaussian_mean",100,300,0.5,10,0,"true",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000025,"spectral"
"ntc_tau0.5_l1","gaussian_mean",100,300,0.5,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000026,"spectral"
"ntc_tau0.5_l2","gaussian_mean",100,300,0.5,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000027,"spectral"
"ntc_tau0.5_l3","gaussian_mean",100,300,0.5,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000028,"spectral"
"ntc_tau0.5_l4","gaussian_mean",100,300,0.5,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000029,"spectral"
"ntc_tau0.5_l5","gaussian_mean",100,300,0.5,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000030,"spectral"
"ntc_c0.05_l0","gaussian_mean",100,300,0.333333,10,0,"true",0.05,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000031,"spectral"
"ntc_c0.05_l1","gaussian_mean",100,300,0.333333,10,0.2,"false",0.05,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000032,"spectral"
"ntc_c0.05_l2","gaussian_mean",100,300,0.333333,10,0.4,"false",0.05,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000033,"spectral"
"ntc_c0.05_l3","gaussian_mean",100,300,0.333333,10,0.6,"false",0.05,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000034,"spectral"
"ntc_c0.05_l4","gaussian_mean",100,300,0.333333,10,0.8,"false",0.05,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000035,"spectral"
"ntc_c0.05_l5","gaussian_mean",100,300,0.333333,10,1,"false",0.05,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000036,"spectral"
"ntc_c0.15_l0","gaussian_mean",100,300,0.333333,10,0,"true",0.15,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000037,"spectral"
"ntc_c0.15_l1","gaussian_mean",100,300,0.333333,10,0.2,"false",0.15,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000038,"spectral"
"ntc_c0.15_l2","gaussian_mean",100,300,0.333333,10,0.4,"false",0.15,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000039,"spectral"
"ntc_c0.15_l3","gaussian_mean",100,300,0.333333,10,0.6,"false",0.15,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000040,"spectral"
"ntc_c0.15_l4","gaussian_mean",100,300,0.333333,10,0.8,"false",0.15,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000041,"spectral"
"ntc_c0.15_l5","gaussian_mean",100,300,0.333333,10,1,"false",0.15,300,0.05,50,"dist_profile;energy;graph;kernel;wbs_sn;hdcp_wbs","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000042,"spectral"
