scenario_id,generator,mc,n,tau,p,signal,null,c,num_permut,alpha,min_size,methods,variants,ndsup,base_seed,covariance
smoke_null,gaussian_mean,1,60,0.333333,5,0,true,0.1,3,0.05,10,dist_profile;energy;graph;kernel,dist_cpd;dist_cpd_AD,50,20260712,identity
smoke_mean,gaussian_mean,1,60,0.333333,5,0.8,false,0.1,3,0.05,10,dist_profile;energy;graph;kernel,dist_cpd;dist_cpd_AD,50,20260712,identity
