"method","monte_carlo","rejection_rate","conditional_mae","conditional_median_ae","candidate_mae","mean_runtime_sec"
"dist_cpd",1,1,0,0,0,354.88
"dist_cpd_AD",1,1,0,0,0,354.88
"dist_cpd_W",1,1,0,0,0,354.88
"dist_cpd_uniform",1,1,0,0,0,354.88
"energy",1,1,1,1,81,0.189999999999998
"graph",1,1,0,0,0,0.146999999999991
"kernel",1,1,0,0,0,6.79899999999998
